,Location,Price,Size,Rooms,Bathrooms,link
198,Contiguo al Barrio El Ensueño - Dosquebradas,$151.474.000,"60,64m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/balcones-de-alejandria/contiguo-al-barrio-el-ensueno/dosquebradas/1774737
199,Contiguo al Barrio El Ensueño - Dosquebradas,$121.000.000,4.806m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/balcones-de-alejandria/contiguo-al-barrio-el-ensueno/dosquebradas/1774737
200,Contiguo al Barrio El Ensueño - Dosquebradas,$119.912.000,"45,86m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/balcones-de-alejandria/contiguo-al-barrio-el-ensueno/dosquebradas/1774737
201,Vía al Libano - Santa Marta,$109.970.000,"31,42m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/conjunto-residencial-tayrona-towers/via-al-libano/santa-marta/6076324
202,Vía al Libano - Santa Marta,$282.672.000,"78,52m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/conjunto-residencial-tayrona-towers/via-al-libano/santa-marta/6076324
203,Vía al Libano - Santa Marta,$187.915.000,"53,69m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/conjunto-residencial-tayrona-towers/via-al-libano/santa-marta/6076324
204,Vía al Libano - Santa Marta,$258.230.000,"73,78m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/conjunto-residencial-tayrona-towers/via-al-libano/santa-marta/6076324
205,Libano Urbano - Santa Marta,$303.000.000,123m²,3ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/conjunto-residencial-cayca/libano--urbano/santa-marta/6703357
206,VILLA ESTRELLA CARIOCA CONDOMINIO - Cartagena,$229.000.000,80m²,3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/salvador-de-bahia/villa-estrella--carioca-condominio/cartagena/7133360
207,Sierradentro - Santa Marta,$158.500.000,"63,6m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/pozo-grande/sierradentro/santa-marta/6765347
208,Libano Urbano - Santa Marta,$270.000.000,"86,4m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/conjunto-residencial-cayca/libano--urbano/santa-marta/6703357
209,VILLA ESTRELLA CARIOCA CONDOMINIO - Cartagena,$161.950.000,65m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/recife/villa-estrella--carioca-condominio/cartagena/7133471
210,SIERRADENTRO - Santa Marta,$158.500.000,"64,3m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/pozo-grande/sierradentro/santa-marta/6765347
211,CR PORTAL DE NUEVA ANDREA CAROLINA - Santa Marta,$158.000.000,64m²,3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/venecia-del-sol/cr-portal-de-nueva-andrea-carolina/santa-marta/6571335
212,CR PORTAL DE NUEVA ANDREA CAROLINA - Santa Marta,$158.000.000,"64,03m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/venecia-del-sol/cr-portal-de-nueva-andrea-carolina/santa-marta/6571335
213,Entrada Urb Sierradentro - Santa Marta,$239.316.526,"67,69m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/torres-del-parque/entrada-urb-sierradentro/santa-marta/5133825
214,Entrada Urb Sierradentro - Santa Marta,$236.417.945,"67,69m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/torres-del-parque/entrada-urb-sierradentro/santa-marta/5133825
215,Entrada Urb Sierradentro - Santa Marta,$235.258.513,"67,69m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/torres-del-parque/entrada-urb-sierradentro/santa-marta/5133825
216,Entrada Urb Sierradentro - Santa Marta,$235.838.229,"67,69m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/torres-del-parque/entrada-urb-sierradentro/santa-marta/5133825
217,Entrada Urb Sierradentro - Santa Marta,$237.557.378,"67,69m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/torres-del-parque/entrada-urb-sierradentro/santa-marta/5133825
218,Entrada Urb Sierradentro - Santa Marta,$238.736.811,"67,69m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/torres-del-parque/entrada-urb-sierradentro/santa-marta/5133825
219,Entrada Urb Sierradentro - Santa Marta,$236.997.662,"67,69m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/torres-del-parque/entrada-urb-sierradentro/santa-marta/5133825
220,Entrada Urb Sierradentro - Santa Marta,$238.157.095,"67,69m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/torres-del-parque/entrada-urb-sierradentro/santa-marta/5133825
221,chía - Chía,$345.695.700,"73,38m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/acqua-residencial-etapa-2./chia/chia/7085082
222,chía - Chía,$1.093.819.890,"164,38m²",4ha.,5ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/oikos-savanna/chia/chia/6862375
223,chía - Chía,$757.766.500,"114,88m²",3ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/oikos-savanna/chia/chia/6862375
224,Centro - Cali,$178.653.000,"52,08m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/826-central/centro/cali/7012653
225,chía - Chía,$1.093.819.890,"164,38m²",4ha.,5ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/oikos-savanna/chia/chia/6862375
226,cajicá - Cajicá,$333.276.000,"77,54m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/girasoles./cajica/cajica/6815188
227,cajicá - Cajicá,$215.382.086,57m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/reserva-del-lago-2/cajica/cajica/6721691
228,cajicá - Cajicá,$415.500.000,84m²,3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/huertas-oriental-i/cajica/cajica/6514063
