,Location,Price,Size,Rooms,Bathrooms,link
318,Centro - Bogotá,$612.420.489,"80,89m²",1ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/frontier/centro/bogota/6483883
319,La Balsa Variante Chía - Chía,$201.880.160,50m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/country-paradise./la-balsa--variante-chia/chia/6677348
320,La Ceja - La Ceja,$721.885.386,"137,1m²",3ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/antigua-casas/la-ceja/la-ceja/6672874
321,Los Cristales - Cali,$596.509.000,"101,86m²",2ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/cristales-west/los-cristales/cali/3242869
322,Ciudad Bochalema - Cali,$246.845.940,"71,5m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/k108-roble/ciudad-bochalema/cali/6317059
323,Ciudad Bochalema - Cali,$268.481.496,"64,02m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/leparc-bochalema/ciudad-bochalema/cali/6972650
324,Ciudad Bochalema - Cali,$264.508.245,"64,02m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/leparc-bochalema/ciudad-bochalema/cali/6972650
325,Centro - Bogotá,$612.420.489,"80,89m²",1ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/frontier/centro/bogota/6483883
326,Centro - Bogotá,$166.000.000,36m²,2ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/novum-ricaurte/centro/bogota/6839924
327,Centro - Bogotá,$211.300.000,"24,07m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
328,Centro - Bogotá,$235.700.000,"29,97m²",1ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
329,Centro - Bogotá,$460.000.000,"55,22m²",2ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/go-life-&-work./centro/bogota/7134285
